id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971,13.37975,Entire home/apt,65,60,98,05/02/19,0.92,1,201
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg SÃ_dwest,52.53079,13.41808,Entire home/apt,90,3,18,25/08/18,0.17,2,66
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg SÃ_d,52.53026,13.41947,Entire home/apt,90,4,5,14/08/16,0.05,2,136
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54406,13.42138,Entire home/apt,197,3,167,17/02/19,1.6,1,312
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54672,13.40512,Entire home/apt,70,90,29,31/10/18,0.29,4,127
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54179,13.42388,Entire home/apt,65,60,70,29/12/18,0.68,3,222
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54597,13.42236,Entire home/apt,100,4,254,04/03/19,2.46,4,196
31440,"Nice Room in Prenzlauerberg,",135046,Thomas,Pankow,Helmholtzplatz,52.54309,13.42245,Private room,37,1,32,31/01/19,0.33,1,361
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.52142,13.35708,Entire home/apt,62,3,159,05/03/19,1.53,1,279
33728,KurfÃ_rstendamm-Apartment with Wifi from 15. March,145808,Veronika,Charlottenburg-Wilm.,Halensee,52.49717,13.30405,Entire home/apt,28,70,22,10/03/18,0.22,3,351
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51968,13.30209,Private room,40,1,34,02/01/19,1.4,2,362
37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Bernd,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49339,13.36481,Private room,30,10,23,25/02/19,0.22,1,277
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49847,13.44013,Private room,39,1,166,07/03/19,1.58,2,140
38074,3 months min stay in the heart of Prenzlauer Berg!,163384,Alan & Kasia,Pankow,Prenzlauer Berg SÃ_d,52.5368,13.42547,Entire home/apt,80,84,102,21/07/18,0.99,9,222
38296,nice apartment to rent in NeukÃ¶lln in September!,164310,Oliver,NeukÃ¶lln,Schillerpromenade,52.48586,13.42362,Entire home/apt,80,10,6,27/07/12,0.06,1,66
